0 3.4777722595378735e-01
1 1.2960680438829841e-01
2 2.9583902016942021e-01
3 3.0679788382374384e-01
4 1.3997693824935753e-01
5 2.4872175084608317e-01
6 3.3373143582224729e-01
7 3.5559300398133631e-01
8 3.5336883494960902e-01
9 3.7032586770322540e-01
10 1.7177147622495725e-01
11 7.7277980855608219e-02
12 1.7403104338793740e-01
13 7.4272900949888920e-02
14 1.9397611443849472e-01
15 2.4004065152490328e-01
16 2.5957019107090262e-01
17 2.8931671129287950e-01
18 2.0310456743356953e-01
19 2.5013020675728670e-01
20 2.3964687175213883e-01
21 1.6219410450221561e-01
22 3.5462526725079202e-01
23 1.8736480241571074e-01
24 2.2292174636575213e-01
25 5.0271039857706645e-03
26 3.1124348467127605e-01
27 3.7228904790131467e-01
28 3.2582679723182240e-01
29 2.2454228795386244e-01
30 2.5084601800167705e-01
31 3.8706284130457946e-01
32 1.4406829259928899e-01
33 1.2268452632458648e-01
34 2.5715725737778017e-01
35 2.6709516837336922e-01
36 2.2281660099221356e-01
37 4.1037306380482208e-01
38 2.6105986341498111e-01
39 3.8223695970884408e-01
40 3.2893084087998703e-01
41 2.5372149459964122e-01
42 2.9823370109768221e-01
43 1.5301306264009484e-01
44 2.5317495838370563e-01
45 3.4435465459105374e-01
46 3.8738043846236836e-01
47 1.3533265762488200e-01
48 1.5257544564468561e-01
49 3.7904227252829104e-01
50 2.7399157476181857e-01
51 2.0351195022785917e-01
52 1.0555723985779808e-01
53 1.8393422240840651e-01
54 1.1065733656331689e-01
55 1.8781165428859070e-01
56 1.1232215130935985e-01
57 1.7423705132093958e-01
58 2.1155711664024623e-01
59 3.1047732309215392e-01
60 2.9576074307673694e-01
61 2.4828382727988740e-01
62 1.8801552409547229e-01
63 2.4191356500520145e-01
64 9.0575910728570519e-02
65 1.7822839417632552e-01
66 1.4553616856735674e-01
67 2.1919263075028128e-01
68 1.8074665909227094e-01
69 1.6210191746690883e-01
70 1.4643507622879370e-01
71 2.1981380695588526e-02
72 2.8089232932442643e-01
73 1.3287187825508384e-01
74 1.6928553925113776e-01
75 1.3582459838871175e-01
76 1.3010957114367672e-01
77 5.0541179008216530e-02
78 1.2093888417274046e-01
79 1.9429282931170222e-01
80 1.3983541880123640e-01
81 9.9185124129657409e-02
82 1.8650888310969138e-01
83 3.6720954097641978e-02
84 1.1920422792786256e-01
85 2.0083969722241635e-01
86 6.9891458521208150e-02
87 2.1774273307438408e-01
88 2.8563266399290954e-01
89 1.2058243162621396e-01
90 2.2854995988496130e-01
