1 47 1.7741621584853406e-01
1 25 2.1936830121246531e-01
1 12 3.6286676239140137e-01
1 24 3.3252739318435987e-01
4 52 1.6451893953034913e-01
4 25 2.3735849294973421e-01
5 46 4.9678759645282911e-01
6 42 4.2667613174824781e-01
8 18 4.6921422419183345e-01
10 36 2.4567064160938956e-01
10 29 2.6831033956315353e-01
10 26 4.2917316331297728e-01
11 23 2.8858946885747672e-01
14 28 4.4877109675075688e-01
14 48 2.3590980908174275e-01
14 23 2.4581130929422146e-01
16 20 3.0602500628494356e-01
17 21 3.9495946823091843e-01
17 46 4.5693199844876220e-01
17 62 4.2228235523102897e-01
18 62 2.2385093896496799e-01
19 32 3.8261966858841434e-01
22 37 4.7872142986750121e-01
25 56 1.8848007546081946e-01
29 40 5.1423641927363961e-01
32 57 2.7229755935621414e-01
33 56 1.6039825300041366e-01
36 38 3.2139367452506507e-01
40 45 4.1546309171323104e-01
40 49 4.1174037660635621e-01
41 42 3.5735326397699951e-01
44 65 3.1517520399026056e-01
51 63 2.9235181785704911e-01
58 59 4.3501865072610302e-01
64 65 3.1066550281476724e-01
